TEMPO_VIVE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;AUXILIO_BRASIL;POP_RUA;GRAU_INSTRUCAO;COR_RACA;Faixa da renda familiar per capita;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Ate seis meses;Nunca;09/05/2002;19;MASCULINO;NAO;SIM;Fundamental completo;Parda;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS VILA CEMIG;BARREIRO;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;04/06/1986;35;MASCULINO;NAO;SIM;Medio incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NORDESTE;25 a 36 Meses;01/03/2022
Ate seis meses;Todo mes;01/03/1992;30;FEMININO;NAO;SIM;Sem instrucao;Preta;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS VILA ANTENA;OESTE;ate 12 Meses;01/03/2022
Ate seis meses;Todo dia;03/04/1958;63;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre cinco e dez anos;Nunca;05/02/1965;57;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre dois e cinco anos;Todo mes;15/10/1964;57;FEMININO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;13 a 18 Meses;01/03/2022
Mais de dez anos;Nunca;25/10/1959;62;MASCULINO;NAO;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;25 a 36 Meses;01/03/2022
Entre seis meses e um ano;Toda semana;15/09/1975;46;FEMININO;NAO;SIM;Fundamental completo;Preta;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS HAVAI VENTOSA;OESTE;25 a 36 Meses;01/03/2022
Entre dois e cinco anos;Nunca;18/01/1966;56;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;01/03/2022
Entre dois e cinco anos;Todo mes;03/07/1979;42;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS ALTO VERA CRUZ;LESTE;ate 12 Meses;01/03/2022
Entre um e dois anos;Nunca;25/02/1977;45;MASCULINO;NAO;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Entre seis meses e um ano;Quase nunca;14/03/1951;70;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Ate seis meses;Todo mes;26/12/1972;49;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
